"1","嗄","13","á","a","1"
"2","吖","6","ā","a","1"
"3","阿","7","ā","a","1"
"4","啊","10","ā","a","1"
"5","锕","12","ā","a","1"
"6","桛","13","ā","a","1"
"7","裞","10","ā","a","1"
"8","騣","17","ái","ai","1"
"9","啀","10","ái","ai","1"
"10","捱","11","ái","ai","1"
"11","皑","11","ái","ai","1"
"12","凒","10","ái","ai","1"
"13","溰","10","ái","ai","1"
"14","敳","10","ái","ai","1"
"15","癌","17","ái","ai","1"
"16","嘼","10","ái","ai","1"
"17","嗳","13","ài","ai","1"
"18","艾","5","ài","ai","1"
"19","伌","10","ài","ai","1"
"20","爱","10","ài","ai","1"
"21","砹","10","ài","ai","1"
"22","硋","10","ài","ai","1"
"23","隘","12","ài","ai","1"
"24","嗌","13","ài","ai","1"
"25","塧","12","ài","ai","1"
"26","嫒","13","ài","ai","1"
"27","碍","13","ài","ai","1"
"28","叆","14","ài","ai","1"
"29","暧","14","ài","ai","1"
"30","瑷","14","ài","ai","1"
"31","僾","15","ài","ai","1"
"32","壒","12","ài","ai","1"
"33","懓","12","ài","ai","1"
"34","懝","12","ài","ai","1"
"35","賹","12","ài","ai","1"
"36","餲","17","ài","ai","1"
"37","鴱","12","ài","ai","1"
"38","皧","12","ài","ai","1"
"39","瞹","12","ài","ai","1"
"40","鱫","12","ài","ai","1"
"41","薭","16","ài","ai","1"
"42","駆","12","ài","ai","1"
"43","欬","13","ài","ai","1"
"44","鑠","12","ài","ai","1"
"45","瀏","10","ǎi","ai","1"
"46","矮","13","ǎi","ai","1"
"47","蔼","14","ǎi","ai","1"
"48","躷","10","ǎi","ai","1"
"49","譪","10","ǎi","ai","1"
"50","霭","19","ǎi","ai","1"
"51","昹","10","ǎi","ai","1"
"52","鰆","8","ǎi","ai","1"
"53","哎","8","āi","ai","1"
"54","哀","9","āi","ai","1"
"55","唉","10","āi","ai","1"
"56","埃","10","āi","ai","1"
"57","挨","10","āi","ai","1"
"58","溾","10","āi","ai","1"
"59","锿","14","āi","ai","1"
"60","歡","11","āi","ai","1"
"61","雸","12","án","an","1"
"62","玵","12","án","an","1"
"63","犴","6","àn","an","1"
"64","岸","8","àn","an","1"
"65","按","9","àn","an","1"
"66","案","10","àn","an","1"
"67","胺","10","àn","an","1"
"68","豻","12","àn","an","1"
"69","堓","12","àn","an","1"
"70","暗","13","àn","an","1"
"71","貋","12","àn","an","1"
"72","黯","21","àn","an","1"
"73","屽","7","àn","an","1"
"74","垾","6","àn","an","1"
"75","錬","12","àn","an","1"
"76","莍","12","àn","an","1"
"77","媐","12","àn","an","1"
"78","羙","12","ǎn","an","1"
"79","垵","9","ǎn","an","1"
"80","俺","10","ǎn","an","1"
"81","唵","11","ǎn","an","1"
"82","埯","11","ǎn","an","1"
"83","铵","11","ǎn","an","1"
"84","隌","12","ǎn","an","1"
"85","揞","12","ǎn","an","1"
"86","晻","12","ǎn","an","1"
"87","啽","12","ān","an","1"
"88","萻","12","ān","an","1"
"89","葊","12","ān","an","1"
"90","痷","12","ān","an","1"
"91","鹌","13","ān","an","1"
"92","蓭","12","ān","an","1"
"93","鞍","15","ān","an","1"
"94","闇","17","ān","an","1"
"95","鮟","17","ān","an","1"
"96","韽","12","ān","an","1"
"97","鶕","12","ān","an","1"
"98","安","6","ān","an","1"
"99","侒","12","ān","an","1"
"100","峖","12","ān","an","1"
"101","桉","10","ān","an","1"
"102","氨","10","ān","an","1"
"103","庵","11","ān","an","1"
"104","谙","11","ān","an","1"
"105","媕","12","ān","an","1"
"106","厰","6","ān","an","1"
"107","膚","13","ān","an","1"
"108","誽","12","ān","an","1"
"109","眖","15","ān","an","1"
"110","駅","12","ān","an","1"
"111","眝","18","ān","an","1"
"112","岇","8","áng","ang","1"
"113","昂","8","áng","ang","1"
"114","昻","8","áng","ang","1"
"115","枊","8","àng","ang","1"
"116","盎","10","àng","ang","1"
"117","醠","17","àng","ang","1"
"118","肮","8","āng","ang","1"
"119","敖","10","áo","ao","1"
"120","厫","10","áo","ao","1"
"121","嗷","13","áo","ao","1"
"122","嗸","10","áo","ao","1"
"123","嶅","13","áo","ao","1"
"124","廒","13","áo","ao","1"
"125","獒","14","áo","ao","1"
"126","獓","10","áo","ao","1"
"127","遨","13","áo","ao","1"
"128","摮","10","áo","ao","1"
"129","熬","14","áo","ao","1"
"130","翱","16","áo","ao","1"
"131","聱","16","áo","ao","1"
"132","螯","16","áo","ao","1"
"133","謷","17","áo","ao","1"
"134","鳌","18","áo","ao","1"
"135","鏖","19","áo","ao","1"
"136","鷔","10","áo","ao","1"
"137","憆","12","áo","ao","1"
"138","環","14","áo","ao","1"
"139","鏶","13","áo","ao","1"
"140","漞","10","áo","ao","1"
"141","蕋","10","áo","ao","1"
"142","耴","10","áo","ao","1"
"143","雑","10","áo","ao","1"
"144","峜","10","ào","ao","1"
"145","妔","12","ào","ao","1"
"146","抲","10","ào","ao","1"
"147","妛","12","ào","ao","1"
"148","坳","8","ào","ao","1"
"149","岙","7","ào","ao","1"
"150","傲","12","ào","ao","1"
"151","奥","12","ào","ao","1"
"152","嫯","12","ào","ao","1"
"153","骜","13","ào","ao","1"
"154","澚","12","ào","ao","1"
"155","墺","15","ào","ao","1"
"156","澳","15","ào","ao","1"
"157","懊","15","ào","ao","1"
"158","擙","15","ào","ao","1"
"159","謸","15","ào","ao","1"
"160","鏊","18","ào","ao","1"
"161","芺","7","ǎo","ao","1"
"162","袄","9","ǎo","ao","1"
"163","媪","12","ǎo","ao","1"
"164","媼","10","ǎo","ao","1"
"165","凹","5","āo","ao","1"
"166","垇","8","āo","ao","1"
"167","爊","19","āo","ao","1"
"168","熝","13","āo","ao","1"
"169","泑","10","āo","ao","1"
"170","飔","12","bá","ba","1"
"171","輗","12","bá","ba","1"
"172","跋","12","bá","ba","1"
"173","魃","14","bá","ba","1"
"174","墢","12","bá","ba","1"
"175","鼥","18","bá","ba","1"
"176","叐","10","bá","ba","1"
"177","抜","10","bá","ba","1"
"178","坺","10","bá","ba","1"
"179","妭","10","bá","ba","1"
"180","拔","8","bá","ba","1"
"181","茇","8","bá","ba","1"
"182","炦","8","bá","ba","1"
"183","癹","8","bá","ba","1"
"184","胈","9","bá","ba","1"
"185","釛","8","bá","ba","1"
"186","菝","11","bá","ba","1"
"187","坝","7","bà","ba","1"
"188","弝","7","bà","ba","1"
"189","爸","8","bà","ba","1"
"190","罢","10","bà","ba","1"
"191","鲅","13","bà","ba","1"
"192","霸","21","bà","ba","1"
"193","灞","24","bà","ba","1"
"194","欛","21","bà","ba","1"
"195","鲌","13","bà","ba","1"
"196","砯","10","bà","ba","1"
"197","把","7","bǎ","ba","1"
"198","钯","9","bǎ","ba","1"
"199","靶","13","bǎ","ba","1"
"200","釟","10","bā","ba","1"
"201","豝","11","bā","ba","1"
"202","鲃","12","bā","ba","1"
"203","魞","10","bā","ba","1"
"204","八","2","bā","ba","1"
"205","仈","15","bā","ba","1"
"206","巴","4","bā","ba","1"
"207","叭","5","bā","ba","1"
"208","扒","5","bā","ba","1"
"209","朳","6","bā","ba","1"
"210","吧","7","bā","ba","1"
"211","岜","7","bā","ba","1"
"212","芭","7","bā","ba","1"
"213","疤","9","bā","ba","1"
"214","哵","7","bā","ba","1"
"215","捌","10","bā","ba","1"
"216","笆","10","bā","ba","1"
"217","粑","10","bā","ba","1"
"218","紦","10","bā","ba","1"
"219","羓","10","bā","ba","1"
"220","柭","8","bā","ba","1"
"221","奲","7","bā","ba","1"
"222","蚼","10","bā","ba","1"
"223","乺","6","bā","ba","1"
"224","玿","5","bā","ba","1"
"225","白","5","bái","bai","1"
"226","拝","8","bài","bai","1"
"227","败","8","bài","bai","1"
"228","拜","9","bài","bai","1"
"229","稗","13","bài","bai","1"
"230","鞁","8","bài","bai","1"
"231","薭","8","bài","bai","1"
"232","贁","8","bài","bai","1"
"233","韛","8","bài","bai","1"
"234","百","6","bǎi","bai","1"
"235","佰","8","bǎi","bai","1"
"236","柏","9","bǎi","bai","1"
"237","栢","10","bǎi","bai","1"
"238","捭","11","bǎi","bai","1"
"239","竡","8","bǎi","bai","1"
"240","粨","8","bǎi","bai","1"
"241","摆","13","bǎi","bai","1"
"242","挀","21","bāi","bai","1"
"243","掰","12","bāi","bai","1"
"244","兡","8","bàike","baike","1"
"245","産","8","baiwǎ","baiwa","1"
"246","办","4","bàn","ban","1"
"247","半","5","bàn","ban","1"
"248","伴","7","bàn","ban","1"
"249","扮","7","bàn","ban","1"
"250","姅","8","bàn","ban","1"
"251","拌","8","bàn","ban","1"
"252","绊","8","bàn","ban","1"
"253","秚","8","bàn","ban","1"
"254","瓣","19","bàn","ban","1"
"255","湴","11","bàn","ban","1"
"256","鉡","8","bàn","ban","1"
"257","靽","8","bàn","ban","1"
"258","恊","7","bàn","ban","1"
"259","蝯","14","bǎn","ban","1"
"260","阪","6","bǎn","ban","1"
"261","坂","7","bǎn","ban","1"
"262","岅","10","bǎn","ban","1"
"263","板","8","bǎn","ban","1"
"264","版","8","bǎn","ban","1"
"265","瓪","10","bǎn","ban","1"
"266","钣","9","bǎn","ban","1"
"267","粄","10","bǎn","ban","1"
"268","舨","10","bǎn","ban","1"
"269","魬","15","bǎn","ban","1"
"270","扳","7","bān","ban","1"
"271","攽","8","bān","ban","1"
"272","班","10","bān","ban","1"
"273","般","10","bān","ban","1"
"274","颁","10","bān","ban","1"
"275","斑","12","bān","ban","1"
"276","搬","13","bān","ban","1"
"277","斒","13","bān","ban","1"
"278","瘢","15","bān","ban","1"
"279","螁","10","bān","ban","1"
"280","螌","10","bān","ban","1"
"281","褩","10","bān","ban","1"
"282","癍","17","bān","ban","1"
"283","辬","10","bān","ban","1"
"284","籵","18","bān","ban","1"
"285","搫","11","bān","ban","1"
"286","鴛","12","bān","ban","1"
"287","胷","7","bān","ban","1"
"288","墆","13","bàng","bang","1"
"289","蚌","10","bàng","bang","1"
"290","傍","12","bàng","bang","1"
"291","棒","12","bàng","bang","1"
"292","棓","12","bàng","bang","1"
"293","谤","12","bàng","bang","1"
"294","稖","13","bàng","bang","1"
"295","蒡","13","bàng","bang","1"
"296","镑","15","bàng","bang","1"
"297","艕","15","bàng","bang","1"
"298","玤","14","bàng","bang","1"
"299","绑","9","bǎng","bang","1"
"300","榜","14","bǎng","bang","1"
"301","牓","14","bǎng","bang","1"
"302","膀","14","bǎng","bang","1"
"303","騯","12","bǎng","bang","1"
"304","縭","8","bāng","bang","1"
"305","邦","6","bāng","bang","1"
"306","垹","8","bāng","bang","1"
"307","帮","9","bāng","bang","1"
"308","捠","8","bāng","bang","1"
"309","梆","10","bāng","bang","1"
"310","浜","10","bāng","bang","1"
"311","邫","8","bāng","bang","1"
"312","幇","8","bāng","bang","1"
"313","幚","10","bāng","bang","1"
"314","韉","8","bāng","bang","1"
